idlocalidad,nombrelocalidad,provincia_idprovincia
1,"25 de Mayo",1
2,"3 de febrero",1
3,"A. Alsina",1
4,"A. Gonzáles Cháves",1
5,"Aguas Verdes",1
6,Alberti,1
7,Arrecifes,1
8,Ayacucho,1
9,Azul,1
10,"Bahía Blanca",1
11,Balcarce,1
12,Baradero,1
13,"Benito Juárez",1
14,Berisso,1
15,Bolívar,1
16,Bragado,1
17,Brandsen,1
18,Campana,1
19,Cañuelas,1
20,"Capilla del Señor",1
21,"Capitán Sarmiento",1
22,Carapachay,1
23,Carhue,1
24,Cariló,1
25,"Carlos Casares",1
26,"Carlos Tejedor",1
27,"Carmen de Areco",1
28,"Carmen de Patagones",1
29,Castelli,1
30,Chacabuco,1
31,Chascomús,1
32,Chivilcoy,1
33,Colón,1
34,"Coronel Dorrego",1
35,"Coronel Pringles",1
36,"Coronel Rosales",1
37,"Coronel Suarez",1
38,"Costa Azul",1
39,"Costa Chica",1
40,"Costa del Este",1
41,"Costa Esmeralda",1
42,Daireaux,1
43,Darregueira,1
44,"Del Viso",1
45,Dolores,1
46,"Don Torcuato",1
47,Ensenada,1
48,Escobar,1
49,"Exaltación de la Cruz",1
50,"Florentino Ameghino",1
51,Garín,1
52,"Gral. Alvarado",1
53,"Gral. Alvear",1
54,"Gral. Arenales",1
55,"Gral. Belgrano",1
56,"Gral. Guido",1
57,"Gral. Lamadrid",1
58,"Gral. Las Heras",1
59,"Gral. Lavalle",1
60,"Gral. Madariaga",1
61,"Gral. Pacheco",1
62,"Gral. Paz",1
63,"Gral. Pinto",1
64,"Gral. Pueyrredón",1
65,"Gral. Rodríguez",1
66,"Gral. Viamonte",1
67,"Gral. Villegas",1
68,Guaminí,1
69,Guernica,1
70,"Hipólito Yrigoyen",1
71,"Ing. Maschwitz",1
72,Junín,1
73,"La Plata",1
74,Laprida,1
75,"Las Flores",1
76,"Las Toninas",1
77,"Leandro N. Alem",1
78,Lincoln,1
79,Loberia,1
80,Lobos,1
81,"Los Cardales",1
82,"Los Toldos",1
83,"Lucila del Mar",1
84,Luján,1
85,Magdalena,1
86,Maipú,1
87,"Mar Chiquita",1
88,"Mar de Ajó",1
89,"Mar de las Pampas",1
90,"Mar del Plata",1
91,"Mar del Tuyú",1
92,"Marcos Paz",1
93,Mercedes,1
94,Miramar,1
95,Monte,1
96,"Monte Hermoso",1
97,Munro,1
98,Navarro,1
99,Necochea,1
100,Olavarría,1
101,"Partido de la Costa",1
102,Pehuajó,1
103,Pellegrini,1
104,Pergamino,1
105,Pigüé,1
106,Pila,1
107,Pilar,1
108,Pinamar,1
109,"Pinar del Sol",1
110,Polvorines,1
111,"Pte. Perón",1
112,Puán,1
113,"Punta Indio",1
114,Ramallo,1
115,Rauch,1
116,Rivadavia,1
117,Rojas,1
118,"Roque Pérez",1
119,Saavedra,1
120,Saladillo,1
121,Salliqueló,1
122,Salto,1
123,"San Andrés de Giles",1
124,"San Antonio de Areco",1
125,"San Antonio de Padua",1
126,"San Bernardo",1
127,"San Cayetano",1
128,"San Clemente del Tuyú",1
129,"San Nicolás",1
130,"San Pedro",1
131,"San Vicente",1
132,"Santa Teresita",1
133,Suipacha,1
134,Tandil,1
135,Tapalqué,1
136,Tordillo,1
137,Tornquist,1
138,"Trenque Lauquen",1
139,"Tres Lomas",1
140,"Villa Gesell",1
141,Villarino,1
142,Zárate,1
143,"11 de Septiembre",2
144,"20 de Junio",2
145,"25 de Mayo",2
146,Acassuso,2
147,Adrogué,2
148,"Aldo Bonzi",2
149,"Área Reserva Cinturón Ecológico",2
150,Avellaneda,2
151,Banfield,2
152,"Barrio Parque",2
153,"Barrio Santa Teresita",2
154,Beccar,2
155,"Bella Vista",2
156,Berazategui,2
157,"Bernal Este",2
158,"Bernal Oeste",2
159,Billinghurst,2
160,Boulogne,2
161,Burzaco,2
162,Carapachay,2
163,Caseros,2
164,Castelar,2
165,Churruca,2
166,"Ciudad Evita",2
167,"Ciudad Madero",2
168,Ciudadela,2
169,Claypole,2
170,Crucecita,2
171,"Dock Sud",2
172,"Don Bosco",2
173,"Don Orione",2
174,"El Jagüel",2
175,"El Libertador",2
176,"El Palomar",2
177,"El Tala",2
178,"El Trébol",2
179,Ezeiza,2
180,Ezpeleta,2
181,"Florencio Varela",2
182,Florida,2
183,"Francisco Álvarez",2
184,Gerli,2
185,Glew,2
186,"González Catán",2
187,"Gral. Lamadrid",2
188,"Grand Bourg",2
189,"Gregorio de Laferrere",2
190,"Guillermo Enrique Hudson",2
191,Haedo,2
192,Hurlingham,2
193,"Ing. Sourdeaux",2
194,"Isidro Casanova",2
195,Ituzaingó,2
196,"José C. Paz",2
197,"José Ingenieros",2
198,"José Marmol",2
199,"La Lucila",2
200,"La Reja",2
201,"La Tablada",2
202,Lanús,2
203,Llavallol,2
204,"Loma Hermosa",2
205,"Lomas de Zamora",2
206,"Lomas del Millón",2
207,"Lomas del Mirador",2
208,Longchamps,2
209,"Los Polvorines",2
210,"Luis Guillón",2
211,"Malvinas Argentinas",2
212,"Martín Coronado",2
213,Martínez,2
214,Merlo,2
215,"Ministro Rivadavia",2
216,"Monte Chingolo",2
217,"Monte Grande",2
218,Moreno,2
219,Morón,2
220,Muñiz,2
221,Olivos,2
222,"Pablo Nogués",2
223,"Pablo Podestá",2
224,"Paso del Rey",2
225,Pereyra,2
226,Piñeiro,2
227,Plátanos,2
228,Pontevedra,2
229,Quilmes,2
230,"Rafael Calzada",2
231,"Rafael Castillo",2
232,"Ramos Mejía",2
233,Ranelagh,2
234,"Remedios de Escalada",2
235,"Sáenz Peña",2
236,"San Antonio de Padua",2
237,"San Fernando",2
238,"San Francisco Solano",2
239,"San Isidro",2
240,"San José",2
241,"San Justo",2
242,"San Martín",2
243,"San Miguel",2
244,"Santos Lugares",2
245,Sarandí,2
246,Sourigues,2
247,Tapiales,2
248,Temperley,2
249,Tigre,2
250,Tortuguitas,2
251,"Tristán Suárez",2
252,Trujui,2
253,Turdera,2
254,"Valentín Alsina",2
255,"Vicente López",2
256,"Villa Adelina",2
257,"Villa Ballester",2
258,"Villa Bosch",2
259,"Villa Caraza",2
260,"Villa Celina",2
261,"Villa Centenario",2
262,"Villa de Mayo",2
263,"Villa Diamante",2
264,"Villa Domínico",2
265,"Villa España",2
266,"Villa Fiorito",2
267,"Villa Guillermina",2
268,"Villa Insuperable",2
269,"Villa José León Suárez",2
270,"Villa La Florida",2
271,"Villa Luzuriaga",2
272,"Villa Martelli",2
273,"Villa Obrera",2
274,"Villa Progreso",2
275,"Villa Raffo",2
276,"Villa Sarmiento",2
277,"Villa Tesei",2
278,"Villa Udaondo",2
279,"Virrey del Pino",2
280,Wilde,2
281,"William Morris",2
282,Agronomía,3
283,Almagro,3
284,Balvanera,3
285,Barracas,3
286,Belgrano,3
287,Boca,3
288,Boedo,3
289,Caballito,3
290,Chacarita,3
291,Coghlan,3
292,Colegiales,3
293,Constitución,3
294,Flores,3
295,Floresta,3
296,"La Paternal",3
297,Liniers,3
298,Mataderos,3
299,Monserrat,3
300,"Monte Castro",3
301,"Nueva Pompeya",3
302,Núñez,3
303,Palermo,3
304,"Parque Avellaneda",3
305,"Parque Chacabuco",3
306,"Parque Chas",3
307,"Parque Patricios",3
308,"Puerto Madero",3
309,Recoleta,3
310,Retiro,3
311,Saavedra,3
312,"San Cristóbal",3
313,"San Nicolás",3
314,"San Telmo",3
315,"Vélez Sársfield",3
316,Versalles,3
317,"Villa Crespo",3
318,"Villa del Parque",3
319,"Villa Devoto",3
320,"Villa Gral. Mitre",3
321,"Villa Lugano",3
322,"Villa Luro",3
323,"Villa Ortúzar",3
324,"Villa Pueyrredón",3
325,"Villa Real",3
326,"Villa Riachuelo",3
327,"Villa Santa Rita",3
328,"Villa Soldati",3
329,"Villa Urquiza",3
330,Aconquija,4
331,Ancasti,4
332,Andalgalá,4
333,Antofagasta,4
334,Belén,4
335,Capayán,4
336,Capital,4
337,4,4
338,"Corral Quemado",4
339,"El Alto",4
340,"El Rodeo",4
341,"F.Mamerto Esquiú",4
342,Fiambalá,4
343,Hualfín,4
344,Huillapima,4
345,Icaño,4
346,"La Puerta",4
347,"Las Juntas",4
348,Londres,4
349,"Los Altos",4
350,"Los Varela",4
351,Mutquín,4
352,Paclín,4
353,Poman,4
354,"Pozo de La Piedra",4
355,"Puerta de Corral",4
356,"Puerta San José",4
357,Recreo,4
358,"S.F.V de 4",4
359,"San Fernando",4
360,"San Fernando del Valle",4
361,"San José",4
362,"Santa María",4
363,"Santa Rosa",4
364,Saujil,4
365,Tapso,4
366,Tinogasta,4
367,"Valle Viejo",4
368,"Villa Vil",4
369,"Aviá Teraí",5
370,Barranqueras,5
371,Basail,5
372,"Campo Largo",5
373,Capital,5
374,"Capitán Solari",5
375,Charadai,5
376,Charata,5
377,Chorotis,5
378,"Ciervo Petiso",5
379,"Cnel. Du Graty",5
380,"Col. Benítez",5
381,"Col. Elisa",5
382,"Col. Popular",5
383,"Colonias Unidas",5
384,Concepción,5
385,Corzuela,5
386,"Cote Lai",5
387,"El Sauzalito",5
388,"Enrique Urien",5
389,Fontana,5
390,"Fte. Esperanza",5
391,Gancedo,5
392,"Gral. Capdevila",5
393,"Gral. Pinero",5
394,"Gral. San Martín",5
395,"Gral. Vedia",5
396,"Hermoso Campo",5
397,"I. del Cerrito",5
398,"J.J. Castelli",5
399,"La Clotilde",5
400,"La Eduvigis",5
401,"La Escondida",5
402,"La Leonesa",5
403,"La Tigra",5
404,"La Verde",5
405,"Laguna Blanca",5
406,"Laguna Limpia",5
407,Lapachito,5
408,"Las Breñas",5
409,"Las Garcitas",5
410,"Las Palmas",5
411,"Los Frentones",5
412,Machagai,5
413,Makallé,5
414,"Margarita Belén",5
415,Miraflores,5
416,"Misión N. Pompeya",5
417,Napenay,5
418,"Pampa Almirón",5
419,"Pampa del Indio",5
420,"Pampa del Infierno",5
421,"Pdcia. de La Plaza",5
422,"Pdcia. Roca",5
423,"Pdcia. Roque Sáenz Peña",5
424,"Pto. Bermejo",5
425,"Pto. Eva Perón",5
426,"Puero Tirol",5
427,"Puerto Vilelas",5
428,Quitilipi,5
429,Resistencia,5
430,"Sáenz Peña",5
431,Samuhú,5
432,"San Bernardo",5
433,"Santa Sylvina",5
434,"Taco Pozo",5
435,"Tres Isletas",5
436,"Villa Ángela",5
437,"Villa Berthet",5
438,"Villa R. Bermejito",5
439,"Aldea Apeleg",6
440,"Aldea Beleiro",6
441,"Aldea Epulef",6
442,"Alto Río Sengerr",6
443,"Buen Pasto",6
444,Camarones,6
445,Carrenleufú,6
446,Cholila,6
447,"Co. Centinela",6
448,"Colan Conhué",6
449,"Comodoro Rivadavia",6
450,Corcovado,6
451,Cushamen,6
452,"Dique F. Ameghino",6
453,Dolavón,6
454,"Dr. R. Rojas",6
455,"El Hoyo",6
456,"El Maitén",6
457,Epuyén,6
458,Esquel,6
459,Facundo,6
460,Gaimán,6
461,"Gan Gan",6
462,Gastre,6
463,"Gdor. Costa",6
464,Gualjaina,6
465,"J. de San Martín",6
466,"Lago Blanco",6
467,"Lago Puelo",6
468,"Lagunita Salada",6
469,"Las Plumas",6
470,"Los Altares",6
471,"Paso de los Indios",6
472,"Paso del Sapo",6
473,"Pto. Madryn",6
474,"Pto. Pirámides",6
475,"Rada Tilly",6
476,Rawson,6
477,"Río Mayo",6
478,"Río Pico",6
479,Sarmiento,6
480,Tecka,6
481,Telsen,6
482,Trelew,6
483,Trevelin,6
484,"Veintiocho de Julio",6
485,Achiras,7
486,"Adelia Maria",7
487,"Agua de Oro",7
488,"Alcira Gigena",7
489,"Aldea Santa Maria",7
490,"Alejandro Roca",7
491,"Alejo Ledesma",7
492,Alicia,7
493,Almafuerte,7
494,"Alpa Corral",7
495,"Alta Gracia",7
496,"Alto Alegre",7
497,"Alto de Los Quebrachos",7
498,"Altos de Chipion",7
499,Amboy,7
500,Ambul,7
501,"Ana Zumaran",7
502,Anisacate,7
503,Arguello,7
504,Arias,7
505,Arroyito,7
506,"Arroyo Algodon",7
507,"Arroyo Cabral",7
508,"Arroyo Los Patos",7
509,Assunta,7
510,Atahona,7
511,Ausonia,7
512,Avellaneda,7
513,Ballesteros,7
514,"Ballesteros Sud",7
515,Balnearia,7
516,"Bañado de Soto",7
517,"Bell Ville",7
518,Bengolea,7
519,"Benjamin Gould",7
520,Berrotaran,7
521,"Bialet Masse",7
522,Bouwer,7
523,Brinkmann,7
524,Buchardo,7
525,Bulnes,7
526,Cabalango,7
